City,State,Type,Counties,Population,Latitude,Longitude
New York,NY,City,Bronx;Richmond;New York;Kings;Queens,8804190,40.714,-74.007
Los Angeles,CA,City,Los Angeles,3898747,34.052,-118.243
Chicago,IL,City,Cook;DuPage,2746388,41.882,-87.628
Houston,TX,City,Harris;Fort Bend;Montgomery,2304580,29.76,-95.363
Phoenix,AZ,City,Maricopa,1608139,33.448,-112.074
Philadelphia,PA,City,Philadelphia,1603797,39.952,-75.164
San Antonio,TX,City,Bexar,1434625,29.423,-98.49
San Diego,CA,City,San Diego,1386932,32.716,-117.165
Dallas,TX,City,Rockwall;Denton;Kaufman;Dallas;Collin,1304379,32.781,-96.797
San Jose,CA,City,Santa Clara,1013240,37.336,-121.891
Austin,TX,City,Williamson;Travis;Hays,961855,30.268,-97.743
Jacksonville,FL,City,Duval,949611,30.328,-81.657
Fort Worth,TX,City,Wise;Denton;Parker;Tarrant,918915,32.754,-97.331
Columbus,OH,City,Delaware;Franklin;Fairfield,905748,39.962,-83.001
Indianapolis,IN,City,Marion,887642,39.769,-86.158
Charlotte,NC,City,Mecklenburg,874579,35.227,-80.843
San Francisco,CA,City,San Francisco,873965,37.78,-122.414
Seattle,WA,City,King,737015,47.607,-122.338
Denver,CO,City,Denver,715522,39.739,-104.987
Washington,DC,City,District of Columbia,689545,38.895,-77.036
Nashville,TN,Metro Government,Davidson,689447,36.164,-86.783
Oklahoma City,OK,City,Canadian;Cleveland;Oklahoma,681054,35.468,-97.516
El Paso,TX,City,El Paso,678815,31.76,-106.488
Boston,MA,City,Suffolk,675647,42.359,-71.057
Portland,OR,City,Multnomah;Clackamas;Washington,652503,45.519,-122.679
Las Vegas,NV,City,Clark,641903,36.171,-115.144
Detroit,MI,City,Wayne,639111,42.332,-83.047
Memphis,TN,City,Shelby,633104,35.146,-90.052
Louisville,KY,Metro Government,Jefferson,633045,38.257,-85.757
Baltimore,MD,City,Baltimore City,585708,39.289,-76.615
Milwaukee,WI,City,Milwaukee,577222,43.042,-87.905
Albuquerque,NM,City,Bernalillo,564559,35.084,-106.652
Tucson,AZ,City,Pima,542629,32.222,-110.973
Fresno,CA,City,Fresno,542107,36.737,-119.789
Sacramento,CA,City,Sacramento,524943,38.577,-121.496
Kansas City,MO,City,Clay;Platte;Jackson;Cass,508090,39.104,-94.583
Mesa,AZ,City,Maricopa,504258,33.415,-111.831
Atlanta,GA,City,DeKalb;Fulton,498715,33.749,-84.39
Omaha,NE,City,Douglas,486051,41.26,-95.94
Colorado Springs,CO,City,El Paso,478961,38.832,-104.822
Raleigh,NC,City,Durham;Wake,467665,35.78,-78.639
Long Beach,CA,City,Los Angeles,466742,33.768,-118.192
Virginia Beach,VA,City,Virginia Beach,459470,36.845,-75.974
Miami,FL,City,Miami-Dade,442241,25.774,-80.192
Oakland,CA,City,Alameda,440646,37.804,-122.271
Minneapolis,MN,City,Hennepin,429954,44.977,-93.272
Tulsa,OK,City,Wagoner;Osage;Tulsa,413066,36.153,-95.991
Bakersfield,CA,City,Kern,403455,35.373,-119.019
Wichita,KS,City,Sedgwick,397532,37.686,-97.338
Arlington,TX,City,Tarrant,394266,32.737,-97.107
Aurora,CO,City,Douglas;Adams;Arapahoe,386261,39.726,-104.847
Tampa,FL,City,Hillsborough,384959,27.949,-82.458
New Orleans,LA,City,Orleans,383997,29.957,-90.063
Cleveland,OH,City,Cuyahoga,372624,41.5,-81.694
Honolulu,HI,Census-Designated Place,Honolulu,350964,21.306,-157.86
Anaheim,CA,City,Orange,346824,33.833,-117.913
Lexington,KY,Urban County,Fayette,322570,38.047,-84.498
Stockton,CA,City,San Joaquin,320804,37.955,-121.293
Corpus Christi,TX,City,Aransas;Kleberg;Nueces,317863,27.797,-97.395
Henderson,NV,City,Clark,317610,36.03,-114.983
Riverside,CA,City,Riverside,314998,33.983,-117.374
Newark,NJ,City,Essex,311549,40.736,-74.172
St Paul,MN,City,Ramsey,311527,44.946,-93.094
Santa Ana,CA,City,Orange,310227,33.745,-117.868
Cincinnati,OH,City,Hamilton,309317,39.105,-84.514
Irvine,CA,City,Orange,307670,33.684,-117.796
Orlando,FL,City,Orange,307573,28.543,-81.378
Pittsburgh,PA,City,Allegheny,302971,40.441,-80.003
St Louis,MO,City,St. Louis,301578,38.626,-90.191
Greensboro,NC,City,Guilford,299035,36.073,-79.792
Jersey City,NJ,City,Hudson,292449,40.732,-74.063
Anchorage,AK,Municipality,Anchorage,291247,61.218,-149.885
Lincoln,NE,City,Lancaster,291082,40.809,-96.7
Plano,TX,City,Denton;Collin,285494,33.02,-96.698
Durham,NC,City,Durham,283506,35.995,-78.901
Buffalo,NY,City,Erie,278349,42.886,-78.878
Chandler,AZ,City,Maricopa,275987,33.306,-111.841
Chula Vista,CA,City,San Diego,275487,32.64,-117.082
Toledo,OH,City,Lucas,270871,41.651,-83.542
Madison,WI,City,Dane,269840,43.074,-89.383
Gilbert,AZ,Town,Maricopa,267918,33.354,-111.79
Reno,NV,City,Washoe,264165,39.529,-119.814
Fort Wayne,IN,City,Allen,263886,41.08,-85.14
North Las Vegas,NV,City,Clark,262527,36.202,-115.12
St Petersburg,FL,City,Pinellas,258308,27.771,-82.637
Lubbock,TX,City,Lubbock,257141,33.585,-101.846
Irving,TX,City,Dallas,256684,32.814,-96.946
Laredo,TX,City,Webb,255205,27.506,-99.503
Winston Salem,NC,City,Forsyth,249545,36.095,-80.244
Chesapeake,VA,City,Chesapeake,249422,36.809,-76.271
Glendale,AZ,City,Maricopa,248325,33.539,-112.186
Garland,TX,City,Dallas;Collin,246018,32.913,-96.639
Scottsdale,AZ,City,Maricopa,241361,33.495,-111.926
Norfolk,VA,City,Norfolk,238005,36.848,-76.292
Boise,ID,City,Ada,235684,43.615,-116.202
Fremont,CA,City,Alameda,230504,37.549,-121.988
