"id","license","address","city","county","state","structure","structure_type","latitude","longitude"
20486,"AT&T","S3, T12N, R10W (101378)","Tyonek","KENAI PENINSULA","AK",50.3,"LTOWER",61.1647777778,-151.043805556
20485,"AT&T","MP 179 Parks Hwy (101380)","Cantwell","MATANUSKA-SUSITNA","AK",75.6,"GTOWER",63.094,-149.507
20484,"AT&T","8751 EAST MILE 6 ROAD  (94021)","Wasilla","MATANUSKA-SUSITNA","AK",30.8,"MTOWER",61.6802222222,-149.231194444
20483,"AT&T","HC01 Box 2547  (101366)","Glennallen","VALDEZ-CORDOVA","AK",39,"MTOWER",62.0273888889,-146.635555556
20482,"AT&T","65855 Dimond Ridge Road (93995)","Homer","KENAI PENINSULA","AK",25.9,"LTOWER",59.6804722222,-151.624333333
20481,"AT&T","2420 Backacres Road (93988)","Palmer","MATANUSKA-SUSITNA","AK",33.2,"MTOWER",61.5557222222,-149.022583333
20480,"AT&T","3413 Levan Avenue (93997)","Wasilla","MATANUSKA-SUSITNA","AK",35.1,"MTOWER",61.5525277778,-149.535555556
20464,"AT&T","Mi. 165 Glenn Highway  (94042)","Glenallen","VALDEZ-CORDOVA","AK",48.8,"GTOWER",62.1081388889,-146.175527778
20462,"AT&T","6 MILES E OF STERLING HIGHWAY ON JOHNS ROAD  (94015)","NAPTOWNE","KENAI PENINSULA","AK",80.8,"LTOWER",60.5294444444,-150.583333333
20461,"AT&T","Lot 1, Block 6, 4th of July Creek (94033)","Seward","KENAI PENINSULA","AK",60.7,"LTOWER",60.0833888889,-149.344722222
20460,"AT&T","5 miles N Kenai Spur Road MP 24  (94018)","KENAI","KENAI PENINSULA","AK",25.9,"GTOWER",60.7196944444,-151.366388889
20437,"AT&T","2420 Backacres Road (93988)","Palmer","MATANUSKA-SUSITNA","AK",33.2,"MTOWER",61.5557222222,-149.022583333
20438,"AT&T","65855 Dimond Ridge Road (93995)","Homer","KENAI PENINSULA","AK",25.9,"LTOWER",59.6804722222,-151.624333333
20439,"AT&T","HC01 Box 2547  (101366)","Glennallen","VALDEZ-CORDOVA","AK",39,"MTOWER",62.0273888889,-146.635555556
20440,"AT&T","8751 EAST MILE 6 ROAD  (94021)","Wasilla","MATANUSKA-SUSITNA","AK",30.8,"MTOWER",61.6802222222,-149.231194444
20441,"AT&T","MP 179 Parks Hwy (101380)","Cantwell","MATANUSKA-SUSITNA","AK",75.6,"GTOWER",63.094,-149.507
20442,"AT&T","S3, T12N, R10W (101378)","Tyonek","KENAI PENINSULA","AK",50.3,"LTOWER",61.1647777778,-151.043805556
20443,"AT&T","22302 West Johnny Parks Drive (110443)","WASILLA","MATANUSKA-SUSITNA","AK",121.9,"LTOWER",61.4316944444,-149.997944444
20444,"AT&T","18392 N GLENN HWY (101369)","SUTTON","MATANUSKA-SUSITNA","AK",36.6,"LTOWER",61.7191111111,-148.838388889
20445,"AT&T","SE 1/4 S30, T08S, R06W, CRM (101364)","Valdez","VALDEZ-CORDOVA","AK",11.6,"MTOWER",61.14025,-146.3635
20446,"AT&T","17205 BISHOP STREET (112130)","Ninilchik","KENAI PENINSULA","AK",38.4,"MTOWER",60.023,-151.589861111
20447,"AT&T","MILE POST 36.5 SEWARD HWY (106240)","MOOSE PASS","KENAI PENINSULA","AK",18.9,"LTOWER",60.5325833333,-149.534444444
20448,"AT&T","16725 E Maud Rd (110422)","Palmer","MATANUSKA-SUSITNA","AK",45.7,"LTOWER",61.5855277778,-149.028722222
20449,"AT&T","5432 Kenai Spur Rd (112129)","Kenai","KENAI PENINSULA","AK",37.5,"MTOWER",60.7418333333,-151.219861111
20450,"AT&T","1 MILE SOUTH OF DAYVILLE ROAD (94046)","VALDEZ","VALDEZ-CORDOVA","AK",30.8,"MTOWER",61.0721388889,-146.202027778
20451,"AT&T","Bear Valley Road, 4.8 miles N of Seward (94040)","Seward","KENAI PENINSULA","AK",53.6,"MTOWER",60.1821111111,-149.373611111
20452,"AT&T","37733 West Point Mackenzie Road (126724)","Wasilla","MATANUSKA-SUSITNA","AK",43.6,"MTOWER",61.2868055556,-149.932055556
20453,"AT&T","SW 1/4 S27 T22S R11W (101383)","Talkeetna","MATANUSKA-SUSITNA","AK",75.9,"LTOWER",62.9768611111,-149.637805556
20454,"AT&T","NW S14, T11N, R11W (101375)","TYONEK","KENAI PENINSULA","AK",54,"LTOWER",61.0463333333,-151.183333333
20455,"AT&T","MP 40 Alaska Railroad (101387)","Moose Pass","KENAI PENINSULA","AK",26.2,"LTOWER",60.5612222222,-149.14175
20456,"AT&T","MILEPOST 45 SEWARD HIGHWAY (101358)","Moose Lake","KENAI PENINSULA","AK",15.2,"LTOWER",60.6371388889,-149.485
20457,"AT&T","MP 126.5 RICHARDSON HWY (112127)","GAKONA","VALDEZ-CORDOVA","AK",57.9,"LTOWER",62.2702777778,-145.409972222
20458,"AT&T","B Street (94044)","Tyonek","KENAI PENINSULA","AK",31.7,"LTOWER",61.07025,-151.141666667
20459,"AT&T","11 MILES SW OF KASILOF AIR  (93990)","Clam Gulch","KENAI PENINSULA","AK",93,"LTOWER",60.2141388889,-151.414416667
46294,"AT&T","KDKWLS-1 Pillar Mountain Road (94024)","Kodiak","KODIAK ISLAND","AK",34.1,"LTOWER",57.7899722222,-152.426611111
24836,"AT&T","Sec 2, T17N, R2E Seward Meridian (110422)","Palmer","MATANUSKA-SUSITNA","AK",45.7,"LTOWER",61.5855277778,-149.028722222
24835,"AT&T","MILEPOST 45 SEWARD HIGHWAY (101358)","Moose Lake","KENAI PENINSULA","AK",15.2,"LTOWER",60.6371388889,-149.485
24834,"AT&T","MP 40 Alaska Railroad (101387)","Moose Pass","KENAI PENINSULA","AK",26.2,"LTOWER",60.5612222222,-149.14175
24833,"AT&T","MP 51 Alaska Railroad (101389)","Moose Pass","KENAI PENINSULA","AK",15.2,"LTOWER",60.6638333333,-149.043722222
24832,"AT&T","22302 West Johnny Parks Drive (110443)","WASILLA","MATANUSKA-SUSITNA","AK",121.9,"LTOWER",61.4316944444,-149.997944444
3202,"AT&T","48.3 km SE of Metlakatla   (94067)","Hyder","KETCHIKAN GATEWAY","AK",24.4,"LTOWER",54.9177777778,-130.842222222
3203,"AT&T","27.4 KM WNW   (94082)","MEYERS CHUCK","PRINCE OF WALES-HYDER","AK",44.5,"LTOWER",55.8157222222,-132.685277778
3204,"AT&T","AB Trail Site  (94085)","Anchorage","SKAGWAY-HOONAH-ANGOON","AK",30.5,"LTOWER",59.4607777778,-135.32875
3205,"AT&T","Lindenburg Mtn  (94076)","Petersburg","WRANGELL-PETERSBURG","AK",6.7,"BTWR",56.74325,-133.079222222
3206,"AT&T","Cemetery Point, Wrangell Radio Group; on Block 62  (94088)","Wrangell","WRANGELL-PETERSBURG","AK",45.7,"LTOWER",56.4538888889,-132.384166667
3207,"AT&T","13.5 MI NW OF SITKA  (94079)","SITKA","SITKA","AK",18.3,"LTOWER",57.1524166667,-135.645361111
3208,"AT&T","Cape Spencer Lighthouse  (94059)","Gustavus","SKAGWAY-HOONAH-ANGOON","AK",19.5,"LTOWER",58.1985,-136.639638889
3209,"AT&T","8 KM E OF   (94063)","KAKE","WRANGELL-PETERSBURG","AK",23.8,"LTOWER",56.9811111111,-133.805833333
3210,"AT&T","1.5 Mi. N. of Kupreanof   (94077)","Sitka","SITKA","AK",22.9,"LTOWER",57.1146388889,-134.812305556
3211,"AT&T","1.6 KM E OF  (94064)","GUSTAVUS","SKAGWAY-HOONAH-ANGOON","AK",27.1,"LTOWER",58.4189722222,-135.707055556
3212,"AT&T","MTN TOP NEAR HAINES   (94083)","HAINES","HAINES","AK",37.5,"LTOWER",59.2507777778,-135.462388889
3213,"AT&T","11.8 MI SW OF JUNEAU  (94081)","HAINES","HAINES","AK",19.2,"LTOWER",58.3396388889,-135.079
3214,"AT&T","1.25 mi NE   (94069)","HOONAH","HOONAH-ANGOON","AK",36.6,"LTOWER",58.1277777778,-135.4325
3215,"AT&T","Heinztleman Ridge at R66E  (94066)","Juneau","JUNEAU","AK",30.5,"GTOWER",58.3695,-134.553916667
